album_id,album_title,artist_name,album_date_released,album_tracks,album_listens,album_favorites,album_comments
1,AWOL - A Way Of Life,AWOL,1/05/2009,7,6073,4,0
100,On Opaque Things,Bird Names,1/09/2009,4,5613,0,0
1000,DMBQ Live at 2008 Record Fair on WFMU Record Fair's Show on 10/26/2008,DMBQ,10/26/2008,4,1092,0,0
10000,Live at CKUT on Montreal Sessions,Sundrips,,1,1001,0,0
10001,Ground's Dream Cosmic Love,Uton,1/01/2006,1,504,0,0
10002,Trust Now,Prince Rama,,1,2145,0,0
10003,Or Up We Fall [LCL08],Fanas,9/06/2011,21,24745,1,0
10007,Live at CKUT on Montreal Sessions,Chantale Laplante and Martine Crispo,10/05/2010,1,480,0,0
10008,chamber music,"barriere, garcía, gris",9/07/2011,1,356,0,0
10009,My Song,Audio K,,4,9705,0,0
10010,Big Blood & The Wicked Hex,Big Blood,7/01/2011,18,11511,4,0
10016,"Live at WFMU on Irwin's show, Aug 31st 2011",Mary Lorson,8/31/2011,8,2985,0,0
10017,"Julia Armant 7""",Family Curse,9/30/2011,0,1493,0,0
10018,Narrow Road to the Interior,Angels in America,7/04/2011,7,4795,4,1
10019,Bad Panda #98,The Parish of Little Clifton,9/05/2011,2,2820,0,0
10020,Background Music For Silence,Uton,1/01/2007,2,17901,0,0
10024,The Honor Bar,The Unsacred Hearts,7/12/2011,12,2063,0,0
10025,Live at WFMU on Scott Williams' show Sept 5th 2011,Angels in America,,7,6319,3,0
10027,minusbaby - Singles,minusbaby,,4,4402,0,0
10028,"Suoniin, Luihin, Ytimiin",Uton,1/01/2005,1,187,0,0
1003,"Live on WFMU's Brian Turner Show, Election Day 2008",Killdozer,11/04/2008,0,6821,1,0
10031,motubachii,Annette Krebs/Taku Unami,,2,1398,0,0
10032,Au préau,Rock Monsieur,,2,2699,0,0
10033,"2010-02-19 Live @ The Garrison, Toronto, Canada",Nadja,,3,3980,0,0
10034,junior85 live,junior85,9/13/2011,8,8366,0,0
10035,Behaviour state,DEREK PIOTR / SALAKAPAKKA SOUND SYSTEM,9/13/2011,8,2181,0,0
10036,mystical v,uiutna,,5,2007,0,0
