artist_id,artist_name,artist_active_year_begin,artist_active_year_end,artist_members,artist_favorites,artist_comments,artist_location
1,AWOL,2006,2025,"Sajje Morocco,Brownbum,ZawidaGod,Custodian of Records,Zooberelli the Don,F.A.H,MadSicka,Damien Omenicci..and a van load more...",9,0,New Jersey
10,Lucky Dragons,2008,2025,Luke Fischbeck Sarah Rara,111,3,"Los Angeles, CA"
100,Chandeliers,2004,2025,"Chris Kalis, Harry Brenner, Scott McGaughey, Brett Sova, Cameron Brand",8,1,"Chicago, IL"
1000,Marzipan Marzipan,2008,2025,,0,0,
10000,"Jack Hertz, PHOBoS, Blue Hell",2011,2025,Jack Hertz PHOBoS Blue Hell,1,0,
10001,Nick Rivera,2011,2025,Raffaele Pilia - Electric Guitar Andrea Cherchi - Acoustic Guitar Luca Muntoni - Drums Corrado Loi - Bass and Effect Max Coni - Trombone,13,1,Cagliari/Italy
10002,Carlos Ramirez,2011,2025,,2,0,
10003,Evening Fires,2011,2025,"Jen Breimhurst, Jason Britten, Gabriel Gould, Julie Greer, Kevin Moist, Nathaniel Rasmussen, Dave Sandy, Andrew Simpson, Bob Sweeny, Ben Wentz",2,1,"State College, PA"
10004,Tabla y Cuchillo,2011,2025,Ricardo Tejero Julian Bonequi,2,0,
10005,Blank Realm,2011,2025,,8,1,"Brisbane, Australia"
10010,Jason Kaneshiro,2011,2025,,0,1,
10011,Koobaatoo Asparagus,2011,2025,,2,0,
10012,Jared C. Balogh,2010,2025,Jared C. Balogh,107,28,"Bethlehem, Pennsylvania U.S.A."
10013,Silent Strangers,2011,2025,Christopher Lombardo,4,0,
10014,Chuck Bettis & Toshio Kajiwara,2002,2007,Chuck Bettis - electronics Toshio Kajiwara - turntable + electronics,0,0,New York & Tokyo
10015,Andy & Zeus,2011,2025,A.R. Plovnick & Zachary Wilson,11,1,"Brooklyn, NY"
10016,Ami Dang,2011,2025,,18,1,"Baltimore, MD"
10017,Mind Over Midi,2011,2025,Helge Tømmervåg,3,0,Norway
10018,stockfinster.,2011,2025,,10,1,"Malmö, Sweden"
10019,voyageurs,2011,2025,,42,2,"Fayetteville, AR 72701"
10020,Delicate Steve,2011,2025,Steve Marion,8,0,
10022,Julian Lynch,2011,2025,,8,0,"Ridgewood, NJ"
10023,Waylon Thornton and the Heavy Hands,2011,2025,"Waylon - Guitar, vocals Meg - Drums",21,0,"Lake Butler, Florida"
10024,Crawl Max,2010,2025,Crawl Max,4,0,"Cucumber, Driveby"
10026,Redtheplaneeet,2011,2025,,0,1,
10027,Waylon Thornton,2011,2025,,91,6,"Lake Butler, Florida"
10028,Ba Babes,2011,2025,,3,0,New Jersey
10030,Catholic Spray,2011,2025,,7,1,"Paris, France"
10031,Holy Coast,2011,2025,Blake Tabb,28,3,"Athens, Georgia"
10034,Cave Bears,2005,2025,"C. Bren, Les Des Gustor",7,1,Massachusetts
10035,Reve Steich,2011,2025,Reve Steich,4,0,
10036,The Meta-matics,1994,1995,"Aaron Brenner - guitar, clarinet (trk. 5), back up vocals (trk. 3) Malcolm McDuffie - drums, trumpet (trk. 5), back up vocals (trk. 3), blue horn (trk. 6) Frank Vogl - bass, back up vocals (trk. 3) Chuck Bettis - vocals, sk-1 (trk. 2), blue horn (trk. 1) live guest: Gabe Andruzzi - sax (trk. 17)",11,0,"Washington, DC"
10040,Chuck Bettis & Evan Rapport,1994,2025,Chuck Bettis - electronics + throat Evan Rapport - sax,0,0,Brooklyn & Queens
10042,Splatinum,2011,2025,Andrew Luck and Adam Houghton,0,0,"Seattle, WA"
10043,Joe Boyd and Robyn Hitchcock,2011,2025,,1,0,
10044,Horse Feathers,2011,2025,"JUSTIN RINGLE - vocals, guitar NATHAN CROCKETT - violin; saw; vocals, CATHERINE ODELL - cello; vocals, SAM COOPER - banjo; mandolin; percussion; violin; harmonium; vocals",1,0,"Portland, Oregon"
10045,Yuni In Taxco,2011,2025,"Sean Beszhak, Ross Beamish, Bryce Beamish, Jim Saunders, Isaiah Washington",0,0,"Seattle, Washington"
10046,Bryan John Appleby,2011,2025,Bryan John Appleby,0,0,"Seattle, WA"
10047,Dirty Projectors,2011,2025,"david longstreth — musical direction, amber coffman — singing; guitar, angel deradoorian — singing; keyboard; samples; bass, brian mcomber — drums, nat baldwin — bass, haley dekle — singing",9,0,"Brooklyn, NY"
10048,Dale Earnhardt Jr. Jr.,2011,2025,Joshua Epstein & Daniel Zott,2,0,"Detroit, Michigan"
10049,LaRue,2011,2025,LaRue,0,0,"Seattle, WA"
10050,Say Hi,2011,2025,Eric Elbogen,2,0,"Seattle, WA"
10051,The Black Angels,2011,2025,"Stephanie Bailey - drums & percussion Christian Bland - guitar, drone machine/organ Kyle Hunt - keyboards, percussion, bass, guitar Alex Maas - vocals Nate Ryan - bass, guitar",14,1,"Austin, TX"
10053,Frikstailers,2011,2025,,0,0,
